product,price,type
TAYLOR ACE,240,BOWLS  
TAYLOR LIGNOID,205,BOWLS  
TAYLOR BLAZE,240,BOWLS  
TAYLOR COLOURED,285,BOWLS  
HENSELITE COLOURED,325,BOWLS  
HENSELITE CLASSIC,270,BOWLS  
HENSELITE TIGER PRO,270,BOWLS  
HENSELITE TIGER II,270,BOWLS  
AERO BOWLS (Z SCOOP),355,BOWLS  
DRAKES PRIDE COLOURED,270,BOWLS  
DRAKES PRIDE 2 BOWL CARRIER,7.5,BAGS
DRAKES PRIDE 4 BOWL CARRIER,9.5,BAGS
TAYLOR 2 BOWL BAGS,15,BAGS
TAYLOR ULTIMATE TROLLEY BAG,70,BAGS
TAYLOR GRAND TOURER BAG,90,BAGS
TAYLOR MINI SPORTS BAG,36,BAGS
TAYLOR MIDI SPORTS BAG,42,BAGS
DRAKES PRIDE TROLLEY BAG,70,BAGS
COMFIT PRO ULTRA GLIDE LX                 ,100,BAGS
COMFIT PRO ULTRA GLIDE CX,70,BAGS
COMFIT PRO PROBOWLER,65,BAGS
HENSELITE TEAM,60,SHOES
DRAKES PRIDE SOLAR,43,SHOES
HENSELITE HL74,65,SHOES
HENSELITE BLADE,65,SHOES
THOMAS TAYLOR ULTRX,45,SHOES
GREENZ VICKI LADIES,52,SHOES
GREENZ CAMILLE,52,SHOES
HEN MENS MPS40 SHOES,65,SHOES
LADIES SHOES LPS40,53,SHOES
LADIES LPS44,53,SHOES
AERO FLEX,65,SHOES
DRAKES PRIDE COSMIC,42,SHOES
AERO BLUE FLEX,65,SHOES
EMSMORN WHITE / GREY MENS TROUSER,36,CLOTHING
EMSMORN WHITE / GREY LADIES TROUSER,36,CLOTHING
HENSELITE WHITE / GREY LADIES TROUSER,36,CLOTHING
HENSELITE WHITE / GREY MENS TROUSER,36,CLOTHING
HENSELITE COC POLO SHIRT,26,CLOTHING
LADIES IONA BLOUSE,19.5,CLOTHING
LADIES BRORA SHIRT,21.5,CLOTHING
LADIES TIREE,21,CLOTHING
EMSMORN BLOUSES,20,CLOTHING
HENSELITE MENS PULLOVER,36,CLOTHING
EMSMORN WATERPROOF JACKET,55,CLOTHING
THOMAS TAYLOR ACE JACKET,36,CLOTHING
THOMAS TAYLOR SPORTS TROUSERS,32,CLOTHING
EMSMORN WATERPROOF TROUSER,35,CLOTHING
TAYLOR WATERPROOF GREY/WHITE (NEW),65,CLOTHING
TAYLOR WATERPROOF TROUSERS (NEW),35,CLOTHING
HENSELITE GLOVES,13.5,CLOTHING
GREY & WHITE BELTS,10.5,CLOTHING
EMSMORN WHITE CAP,10.5,CLOTHING
TAYLOR WHITE CAP,10.5,CLOTHING
EMSMORN VISOR,8,CLOTHING
HENSELITE WHITE HAT,8.5,CLOTHING
BOWLS LIFTER,23,SUNDRIES
GRIPPO,5,SUNDRIES
WIL GRIP,4.5,SUNDRIES
GRIPPO TUBE,6.5,SUNDRIES
DRAKES PRIDE WINWAX,6,SUNDRIES
DRAKES PRIDE CLOTH,6.5,SUNDRIES
TAYLOR CLOTH,5.5,SUNDRIES
DRAKES PRIDE CLOTH (in bag),5,SUNDRIES
MEASURES 9ft,15,SUNDRIES
MEASURES   11ft,17.5,SUNDRIES
PROHAWK 11ft WHITE MEASURE,17.5,SUNDRIES
TOUCHA CHALK SPRAY,4,SUNDRIES
YELLOW SHORT MAT BOWLS JACK,32,SUNDRIES
YELLOW or BLACK MATS,11,SUNDRIES
WEDGES,5,SUNDRIES
SHAMROCKS,2.5,SUNDRIES
BIBC CLUB BADGE,2.5,SUNDRIES
SHORT MAT WHITE TAPE,7,SUNDRIES
HENSELITE PLASTIC S/CARD HOLDERS,3.5,SUNDRIES
WALKING STICK PROTECTORS,14.5,SUNDRIES
DRAKES PRIDE SCORECARDS (100),7,SUNDRIES